mse,p_norm,l2_norm
0.015797617,1.4694378,0.7386748
0.015714938,1.470042,0.7367393
0.015631318,1.4706537,0.73477656
0.015544002,1.4712679,0.7327215
0.015453867,1.4718882,0.73059404
0.015362757,1.4725143,0.7284372
0.015273963,1.4731416,0.726329
0.015188652,1.4737684,0.72429776
0.015105313,1.4744023,0.7223079
0.015024119,1.475039,0.7203641
0.014942011,1.47568,0.7183929
0.014857702,1.4763283,0.7163633
0.014772669,1.4769828,0.71431047
0.014688866,1.4776428,0.71228147
0.014607514,1.4783038,0.7103063
0.014527014,1.478958,0.7083464
0.01444878,1.4796169,0.7064364
0.014373588,1.4802871,0.7045959
0.014300036,1.4809589,0.7027908
0.014225059,1.4816281,0.700946
0.014150201,1.4823029,0.69909924
0.014074331,1.4829763,0.6972225
0.014000876,1.4836472,0.69540066
0.013928368,1.4843186,0.69359773
0.013857606,1.4849982,0.69183356
0.013786272,1.4856728,0.6900506
0.013713113,1.4863455,0.6882172
0.01364065,1.4870191,0.6863965
0.013569584,1.4876992,0.68460613
0.0135006225,1.4883809,0.6828643
0.013432671,1.4890635,0.68114364
0.013365747,1.4897442,0.67944473
0.013299819,1.4904246,0.6777669
0.01323516,1.4911098,0.6761174
0.013170365,1.4917922,0.67446035
0.0131051475,1.4924716,0.6727883
0.013040732,1.4931521,0.67113286
0.012973312,1.4938347,0.66939574
0.012907516,1.4945189,0.6676961
0.0128430845,1.4952047,0.66602755
0.012779598,1.4958888,0.6643793
0.012715535,1.4965718,0.662712
0.012651776,1.4972547,0.6610484
0.012587911,1.4979391,0.6593779
0.012524153,1.498625,0.65770584
0.012460202,1.4993116,0.6560245
0.012396215,1.5000013,0.65433794
0.012334806,1.5006934,0.6527151
0.012274193,1.5013864,0.6511094
0.012215184,1.502079,0.64954245
0.012155577,1.5027735,0.64795566
0.012095181,1.5034686,0.646344
0.012034162,1.5041625,0.64471155
0.011974428,1.5048568,0.64310944
0.011917142,1.5055493,0.6415693
0.01186193,1.5062438,0.64008135
0.0118066715,1.5069355,0.6385887
0.011750436,1.5076275,0.6370661
0.011692321,1.5083119,0.63548875
0.011634088,1.5089878,0.6339043
0.011577967,1.5096639,0.6323735
0.011523847,1.510339,0.6308937
0.011469662,1.5110122,0.62940884
0.011415338,1.51169,0.6279165
0.011360491,1.512373,0.6264062
0.011305228,1.513056,0.6248808
0.011249868,1.5137417,0.62334895
0.011195149,1.5144255,0.6218311
0.011142351,1.5151107,0.62036306
0.011089381,1.5157942,0.6188867
0.011036646,1.5164839,0.6174134
