mse,p_norm,l2_norm
0.010431372,1.498426,0.6002445
0.010409266,1.4989356,0.59960824
0.010387818,1.4994452,0.59899014
0.010361261,1.4999541,0.598224
0.010333485,1.5004612,0.5974216
0.010303947,1.5009681,0.5965671
0.010273435,1.5014758,0.59568316
0.010246458,1.5019847,0.5949006
0.010220901,1.5024978,0.59415823
0.0102012465,1.5030122,0.5935867
0.010180806,1.5035255,0.59299165
0.010159986,1.5040387,0.59238505
0.0101377955,1.5045489,0.59173775
0.010111114,1.5050577,0.5909586
0.010081819,1.5055658,0.59010184
0.010051466,1.5060709,0.58921283
0.010022962,1.5065765,0.5883768
0.009998989,1.5070819,0.58767277
0.0099748,1.5075862,0.5869615
0.009952559,1.5080882,0.58630675
0.009929833,1.5085927,0.585637
0.009905383,1.5090945,0.5849155
0.009883027,1.509598,0.5842551
0.009861899,1.5101019,0.58363026
0.009841143,1.5106047,0.5830158
0.009818617,1.5111086,0.5823481
0.009799745,1.5116132,0.58178824
0.009778202,1.5121169,0.5811483
0.0097536575,1.5126231,0.5804185
0.009730071,1.5131313,0.5797163
0.009704671,1.5136403,0.57895917
0.009682726,1.5141461,0.5783042
0.009658652,1.5146494,0.57758486
0.009635273,1.5151553,0.5768854
0.009617968,1.515662,0.57636714
0.009602256,1.5161735,0.5758961
0.009584925,1.516683,0.57537615
0.0095679425,1.5171869,0.57486624
0.009547872,1.517692,0.5742629
0.009522764,1.5181978,0.5735074
0.009499563,1.5187031,0.57280827
0.009477389,1.519207,0.5721394
0.009455152,1.5197132,0.5714678
0.009433005,1.5202174,0.57079816
0.009411322,1.5207196,0.57014173
0.009390712,1.5212173,0.5695171
0.009371088,1.5217162,0.5689218
0.009353142,1.5222131,0.5683768
0.009338385,1.5227064,0.56792814
0.009323693,1.5232016,0.5674812
0.009309007,1.5236962,0.56703407
0.009288231,1.524189,0.566401
0.009264594,1.5246809,0.56567985
0.009241435,1.5251744,0.56497234
0.009221997,1.5256681,0.5643779
0.009202943,1.5261631,0.56379455
0.009183432,1.5266552,0.56319654
0.009166496,1.5271429,0.56267697
0.009152941,1.5276316,0.56226087
0.009138363,1.5281202,0.56181294
0.009118694,1.528609,0.561208
0.009099151,1.529097,0.5606063
0.0090779,1.5295855,0.55995125
0.009054626,1.5300735,0.55923295
0.009036215,1.5305617,0.55866414
0.0090179285,1.5310487,0.55809855
0.009000428,1.5315403,0.5575568
0.008986403,1.5320351,0.55712223
0.00897117,1.5325273,0.55664974
0.008955134,1.5330173,0.55615205
0.008938454,1.5335064,0.5556339
0.008921073,1.5339948,0.5550934
0.00890506,1.5344814,0.554595
0.008889373,1.5349615,0.5541063
0.008873835,1.5354389,0.5536218
0.008856528,1.5359169,0.55308175
0.008836945,1.5363907,0.55246985
0.008818742,1.5368631,0.5519005
0.008803089,1.5373312,0.55141056
0.008791257,1.5378027,0.55103976
0.008779429,1.5382725,0.550669
0.008766905,1.5387418,0.5502761
0.008748518,1.5392095,0.54969877
0.008728524,1.5396777,0.54907024
0.008708851,1.5401453,0.5484512
0.008691886,1.5406123,0.54791665
0.008680492,1.5410793,0.5475574
0.008669036,1.541545,0.54719603
0.008657352,1.5420091,0.54682714
0.008644462,1.5424712,0.54641986
0.008627862,1.5429332,0.545895
0.008614174,1.5433962,0.54546183
0.0085998,1.5438582,0.5450066
0.008585293,1.544318,0.5445466
0.008570036,1.5447751,0.54406255
0.008553326,1.5452284,0.5435319
0.008535669,1.5456831,0.5429706
0.008521118,1.5461378,0.5425076
0.008508723,1.5465934,0.5421129
0.008496191,1.547047,0.5417135
0.008484063,1.5475016,0.5413267
0.008473184,1.5479538,0.54097956
0.008460327,1.5484016,0.54056895
0.008445894,1.5488448,0.54010767
0.008430565,1.5492902,0.5396173
0.008415084,1.5497336,0.5391216
0.0083982,1.5501766,0.5385805
0.008382778,1.5506171,0.5380857
0.008373279,1.5510536,0.5377808
0.008365703,1.5514903,0.53753746
0.008356501,1.5519255,0.53724176
0.00834493,1.5523598,0.53686965
0.008329399,1.55279,0.5363698
0.008306842,1.553223,0.5356431
0.008285863,1.5536548,0.53496623
0.008269581,1.554086,0.53444034
0.00825995,1.5545138,0.5341291
0.008257557,1.5549428,0.53405166
0.008255894,1.5553707,0.5339979
0.008246096,1.555798,0.533681
0.008229106,1.5562291,0.5331309
0.008212298,1.5566573,0.53258616
0.008194244,1.5570842,0.53200036
0.008174251,1.5575123,0.531351
0.008164576,1.5579379,0.53103644
0.008160593,1.5583605,0.5309069
0.008155571,1.5587796,0.53074354
0.00814722,1.5592,0.5304717
0.0081329765,1.5596185,0.53000784
0.0081188725,1.5600345,0.52954805
0.008110303,1.5604496,0.52926856
0.008104303,1.5608646,0.5290727
0.008097872,1.5612755,0.5288627
0.008089139,1.5616877,0.52857745
0.008076815,1.5620965,0.5281747
0.0080612255,1.5625054,0.5276647
0.0080450075,1.5629123,0.52713364
0.0080301445,1.563324,0.52664644
0.008024292,1.5637352,0.52645457
0.008018279,1.5641464,0.5262572
0.008011191,1.5645552,0.5260246
0.00800169,1.5649636,0.52571255
0.007986116,1.5653715,0.5252007
0.0079709925,1.5657753,0.5247032
0.007955076,1.5661782,0.52417904
0.007939925,1.5665792,0.5236797
0.007933302,1.5669781,0.52346116
0.00793055,1.5673751,0.52337044
0.007925356,1.5677693,0.523199
0.007918634,1.5681612,0.52297705
0.007908877,1.5685529,0.5226548
0.007892432,1.5689439,0.52211106
0.007878245,1.569334,0.5216416
0.0078700725,1.5697227,0.521371
0.007865364,1.570112,0.521215
0.007858612,1.5704988,0.52099127
0.007847863,1.5708842,0.52063483
0.00783417,1.5712694,0.52018046
0.007821108,1.5716524,0.5197466
0.0078100576,1.5720348,0.5193793
0.007804254,1.5724154,0.51918626
0.007798817,1.572795,0.5190054
0.007791316,1.5731732,0.51875573
0.007784323,1.5735526,0.5185229
0.007773152,1.5739307,0.5181507
0.0077603753,1.5743091,0.5177247
0.0077478974,1.5746853,0.5173083
0.0077394573,1.5750595,0.5170264
0.007736755,1.5754322,0.5169362
0.007729068,1.5758015,0.51667935
0.007718053,1.5761728,0.516311
0.0077072913,1.5765454,0.5159509
0.007696833,1.5769197,0.51560074
0.0076905834,1.5772915,0.51539135
0.0076828008,1.5776622,0.5151306
0.007670805,1.5780301,0.5147282
0.00766205,1.5784001,0.5144344
0.007657161,1.5787693,0.51427025
0.007649345,1.5791386,0.5140077
0.00764038,1.5795059,0.5137064
0.0076303706,1.579874,0.5133698
0.007624107,1.5802407,0.51315904
0.007617452,1.5806038,0.51293504
0.0076107346,1.5809635,0.51270884
0.0076014665,1.581323,0.5123965
0.007594084,1.5816828,0.51214767
0.0075907283,1.5820428,0.51203454
0.0075862776,1.5824032,0.5118844
0.007581458,1.5827621,0.51172173
0.0075729704,1.5831192,0.5114353
