mse,p_norm,l2_norm
0.006365417,1.5313591,0.46888995
0.0063518537,1.5318356,0.4683901
0.0063366634,1.5323105,0.46782973
0.0063262447,1.5327845,0.467445
0.0063186064,1.5332671,0.4671627
0.0063101226,1.5337536,0.46684897
0.0062946095,1.5342349,0.46627477
0.006281984,1.5347136,0.4658069
0.0062747225,1.53519,0.4655376
0.006268336,1.5356611,0.46530062
0.006258382,1.5361346,0.46493104
0.006245315,1.5366042,0.46444544
0.006235133,1.5370685,0.46406662
0.006228646,1.5375357,0.46382523
0.0062212315,1.5380081,0.46354905
0.006208061,1.5384725,0.46305808
0.006192858,1.5389338,0.46249077
0.0061857724,1.5393895,0.46222612
0.0061812596,1.539842,0.4620575
0.006171125,1.5403001,0.46167853
0.0061579994,1.5407563,0.4611873
0.006147525,1.5412028,0.4607949
0.006142149,1.5416458,0.46059337
0.0061336504,1.5420896,0.4602746
0.006120671,1.5425297,0.4597874
0.0061115976,1.5429692,0.45944643
0.0061074393,1.543404,0.45929012
0.0060987324,1.5438337,0.45896262
0.0060871406,1.5442669,0.45852622
0.006078397,1.5446972,0.45819682
0.0060732253,1.5451283,0.45800182
0.006063448,1.5455523,0.45763302
0.006053524,1.5459716,0.4572584
0.006043009,1.5463955,0.45686102
0.0060362592,1.5468199,0.45660582
0.006030627,1.547244,0.45639277
0.0060211867,1.5476655,0.4560354
0.0060105696,1.548085,0.4556332
0.0060027125,1.5484974,0.45533523
0.0059951455,1.5489144,0.45504817
0.0059885522,1.5493302,0.4547979
0.0059790597,1.5497503,0.4544373
0.005968248,1.5501715,0.45402622
0.005959843,1.5505905,0.4537064
0.005956364,1.5510055,0.45357397
0.005951516,1.5514247,0.45338935
0.005940799,1.5518364,0.45298097
0.005927301,1.5522436,0.45246607
0.005920767,1.5526509,0.45221663
0.005918561,1.5530598,0.45213237
0.0059102885,1.553461,0.45181623
0.005898295,1.5538583,0.45135763
0.0058896174,1.5542551,0.45102546
0.005885908,1.5546553,0.45088342
0.005878991,1.555057,0.4506184
0.005866626,1.5554518,0.45014426
0.005858283,1.5558448,0.4498241
0.0058566593,1.5562325,0.44976172
0.0058495165,1.5566208,0.44948733
0.0058371164,1.5570081,0.44901073
0.0058269585,1.5573897,0.44861984
0.005826417,1.5577704,0.44859898
0.005821415,1.5581456,0.44840637
0.0058087367,1.5585208,0.44791785
0.005798743,1.5588921,0.44753236
0.0057952153,1.5592709,0.4473962
0.0057908543,1.5596477,0.44722787
0.0057803094,1.5600246,0.4468205
0.005771567,1.5603997,0.44648245
0.00576588,1.56077,0.44626242
0.0057601845,1.5611421,0.44604197
0.005752615,1.5615106,0.44574878
0.0057440093,1.5618764,0.4454152
0.0057350467,1.5622388,0.44506758
0.0057297386,1.5625955,0.4448616
0.005721299,1.5629497,0.44453385
0.0057152407,1.5632982,0.44429845
0.0057088737,1.5636405,0.44405085
0.0057008495,1.563978,0.4437387
0.005693199,1.5643125,0.44344085
0.005687172,1.5646441,0.44320607
0.005682677,1.564971,0.44303086
0.0056761745,1.565297,0.44277734
0.0056664012,1.5656284,0.44239596
0.005657334,1.565962,0.4420419
0.005652269,1.5662956,0.441844
0.005647282,1.5666265,0.44164902
0.0056384774,1.5669546,0.4413046
0.00562953,1.567288,0.44095433
0.005626209,1.5676185,0.4408242
0.0056192484,1.5679456,0.44055146
0.0056104814,1.5682724,0.44020766
0.0056042974,1.5685979,0.43996498
0.005599297,1.5689238,0.43976864
0.005593411,1.5692453,0.43953747
0.0055817394,1.56957,0.43907863
0.0055732457,1.5698932,0.43874443
0.005569727,1.5702156,0.4386059
0.005566725,1.5705327,0.4384877
0.0055552474,1.5708494,0.4380354
0.005545349,1.571169,0.43764496
0.005542267,1.5714884,0.43752337
