mse_hybrid_syn,mse_hybrid_phys,mse_phys_only,p_error_hybrid_phys,p_error_hybrid_syn,p_error_phys_only,l2_error_hybrid_phys,l2_error_hybrid_syn,l2_error_phys_only
0.010487195,0.05561806,0.055614118,1.4060451,0.0,1.423243,0.74522096,0.8198759,0.7432875
0.0104034515,0.05560975,0.05560574,1.4056464,0.0,1.4231201,0.7452252,0.8190008,0.74325544
0.0103191,0.05560137,0.05559726,1.4052415,0.0,1.4229969,0.74522865,0.81827945,0.7432229
0.01023395,0.055592883,0.05558867,1.4048347,0.0,1.4228734,0.74523014,0.8174128,0.7431899
0.010147735,0.05558428,0.05557996,1.4044216,0.0,1.4227496,0.7452324,0.8166335,0.7431562
0.010061309,0.055575576,0.055571143,1.4040029,0.0,1.4226254,0.74523574,0.81604743,0.7431218
0.009975822,0.05556672,0.05556222,1.4035777,0.0,1.4225011,0.7452399,0.8156578,0.74308705
0.009888083,0.055557784,0.055553183,1.4031475,0.0,1.4223764,0.74524283,0.8152305,0.7430517
0.009796401,0.0555487,0.05554402,1.4027092,0.0,1.4222513,0.7452461,0.8147062,0.7430156
0.009704489,0.055539522,0.05553474,1.4022663,0.0,1.4221262,0.74524736,0.81421596,0.74297893
0.009613663,0.055530246,0.055525333,1.4018238,0.0,1.4220006,0.7452474,0.81339186,0.7429416
0.009520857,0.05552082,0.055515807,1.4013735,0.0,1.4218749,0.7452477,0.8123209,0.7429037
0.009424937,0.055511296,0.055506166,1.400918,0.0,1.421749,0.7452465,0.81144565,0.74286515
0.009329762,0.055501644,0.055496387,1.4004549,0.0,1.4216228,0.74524564,0.81037074,0.7428259
0.009236036,0.055491883,0.05548648,1.399989,0.0,1.4214964,0.74524343,0.809128,0.74278593
0.00913889,0.05548198,0.05547645,1.3995156,0.0,1.4213698,0.7452398,0.8079212,0.74274534
0.009041264,0.055471934,0.055466276,1.3990358,0.0,1.421243,0.7452357,0.80675817,0.74270403
0.008945047,0.05546179,0.055455975,1.3985487,0.0,1.4211161,0.7452317,0.8053941,0.74266195
0.008847448,0.05545149,0.055445526,1.3980583,0.0,1.420989,0.7452281,0.80407894,0.7426192
0.008747107,0.055441067,0.055434953,1.3975651,0.0,1.4208617,0.74522233,0.8027238,0.7425757
0.008647739,0.055430483,0.055424225,1.3970661,0.0,1.4207344,0.745219,0.8015291,0.7425314
0.008548846,0.055419777,0.055413343,1.3965597,0.0,1.4206069,0.7452161,0.80035484,0.7424863
0.008447831,0.055408906,0.055402327,1.3960494,0.0,1.4204792,0.7452152,0.7990116,0.74244046
0.0083450815,0.05539788,0.05539116,1.3955309,0.0,1.4203515,0.74521345,0.7978267,0.74239385
0.008244056,0.05538671,0.055379827,1.3950114,0.0,1.4202237,0.7452142,0.7966577,0.7423463
0.008141725,0.055375375,0.055368356,1.3944846,0.0,1.4200959,0.74521595,0.79574394,0.742298
0.00803842,0.055363882,0.05535671,1.3939524,0.0,1.4199681,0.7452173,0.79491436,0.7422488
0.007935427,0.055352222,0.05534492,1.3934137,0.0,1.4198402,0.745218,0.7937515,0.7421987
0.007830328,0.055340413,0.05533297,1.3928715,0.0,1.4197123,0.7452182,0.79256225,0.7421478
0.007725197,0.05532843,0.055320837,1.3923247,0.0,1.4195844,0.74521846,0.79109496,0.7420958
0.0076200995,0.055316284,0.05530854,1.3917785,0.0,1.4194566,0.7452169,0.7894719,0.7420431
0.0075119208,0.055303954,0.05529608,1.3912319,0.0,1.4193288,0.74521774,0.7879471,0.7419893
0.007405523,0.05529146,0.055283427,1.3906801,0.0,1.419201,0.7452181,0.7867146,0.74193466
0.0072989515,0.05527879,0.05527062,1.3901229,0.0,1.4190735,0.74521786,0.7853605,0.741879
0.0071892343,0.05526594,0.05525761,1.3895601,0.0,1.4189459,0.74521786,0.7839906,0.74182224
0.007082079,0.055252917,0.055244427,1.38899,0.0,1.4188186,0.7452156,0.7826419,0.74176455
0.0069720084,0.05523971,0.055231065,1.3884141,0.0,1.4186914,0.74521315,0.78141105,0.7417058
0.006861001,0.055226322,0.055217516,1.387836,0.0,1.4185643,0.74521124,0.7802676,0.74164605
0.006752449,0.05521274,0.055203754,1.3872508,0.0,1.4184375,0.74520904,0.77908254,0.7415852
0.00663892,0.055198982,0.05518981,1.3866701,0.0,1.418311,0.7452052,0.7778371,0.74152315
0.0065296493,0.055184998,0.055175655,1.3860884,0.0,1.4181846,0.74520534,0.7766883,0.74146
0.006419197,0.055170797,0.055161312,1.3855002,0.0,1.4180586,0.7452045,0.77561575,0.7413958
0.0063089356,0.055156447,0.05514676,1.3849041,0.0,1.4179329,0.7452013,0.7746247,0.74133044
0.006199538,0.055141885,0.05513198,1.3842993,0.0,1.4178076,0.7451971,0.7736052,0.74126375
0.0060885893,0.055127125,0.055117,1.3836861,0.0,1.4176825,0.74519193,0.7724708,0.741196
0.0059808437,0.055112164,0.055101797,1.3830607,0.0,1.417558,0.74518424,0.7713816,0.74112684
0.005869886,0.055096958,0.055086374,1.3824353,0.0,1.4174339,0.7451767,0.7703652,0.7410565
0.005763468,0.055081528,0.055070728,1.3818035,0.0,1.4173101,0.7451727,0.7692439,0.7409849
0.0056531,0.055065885,0.05505486,1.3811584,0.0,1.4171869,0.7451672,0.7681501,0.7409119
0.005546548,0.055050027,0.055038743,1.380507,0.0,1.4170642,0.74515915,0.76727074,0.74083763
0.0054390384,0.05503392,0.055022396,1.3798504,0.0,1.4169421,0.7451513,0.766521,0.740762
0.0053338464,0.05501759,0.05500581,1.379187,0.0,1.4168205,0.7451425,0.76556855,0.740685
0.005228261,0.05500104,0.054988973,1.3785195,0.0,1.4166996,0.7451329,0.7644541,0.7406065
0.00512446,0.054984216,0.054971892,1.3778425,0.0,1.4165795,0.74512297,0.7633411,0.7405267
0.0050204666,0.054967165,0.05495455,1.3771573,0.0,1.4164599,0.74511236,0.7624012,0.74044526
0.004918995,0.054949883,0.05493695,1.3764628,0.0,1.4163412,0.74510133,0.7614456,0.74036235
0.0048204605,0.054932315,0.054919094,1.375761,0.0,1.4162232,0.7450951,0.7602749,0.74027795
0.0047216886,0.0549145,0.054900963,1.375055,0.0,1.416106,0.7450877,0.7593042,0.74019194
0.0046235467,0.054896425,0.054882564,1.3743389,0.0,1.4159898,0.74507743,0.75850636,0.7401044
0.0045297737,0.054878052,0.05486389,1.3736116,0.0,1.4158744,0.74506944,0.75718683,0.74001515
0.0044306573,0.05485942,0.054844916,1.3728851,0.0,1.4157599,0.7450604,0.75586325,0.73992425
0.0043428885,0.05484053,0.054825675,1.3721572,0.0,1.4156464,0.7450508,0.75479394,0.7398317
0.00424484,0.054821316,0.054806117,1.3714217,0.0,1.415534,0.7450424,0.75410414,0.73973733
0.0041614813,0.05480183,0.054786284,1.3706805,0.0,1.4154227,0.74503195,0.7530443,0.7396413
0.0040687127,0.05478205,0.054766133,1.3699232,0.0,1.4153125,0.74502105,0.7521084,0.7395435
0.003984826,0.054761942,0.054745667,1.3691543,0.0,1.4152035,0.74500996,0.7513972,0.7394437
0.0039036425,0.054741558,0.054724906,1.3683785,0.0,1.4150957,0.7449975,0.75031394,0.7393422
0.0038162186,0.054720853,0.0547038,1.3675884,0.0,1.4149891,0.7449832,0.74921936,0.7392387
0.0037413489,0.054699842,0.05468238,1.3667897,0.0,1.414884,0.7449682,0.7489126,0.7391333
0.0036629264,0.05467848,0.05466063,1.365979,0.0,1.4147803,0.7449531,0.7479281,0.7390259
0.003584367,0.054656822,0.054638546,1.3651634,0.0,1.4146779,0.7449341,0.7470223,0.7389165
0.0035139201,0.054634806,0.054616094,1.3643311,0.0,1.4145771,0.74491477,0.7465104,0.73880506
0.0034426216,0.054612454,0.054593313,1.3634903,0.0,1.4144778,0.7448938,0.7454988,0.7386915
0.0033710601,0.05458976,0.054570165,1.3626568,0.0,1.4143802,0.7448712,0.74475944,0.73857576
0.0033065595,0.054566707,0.054546665,1.3618035,0.0,1.4142842,0.74484783,0.74455833,0.7384579
0.003242857,0.054543305,0.054522775,1.3609374,0.0,1.4141899,0.74482334,0.74335504,0.73833776
0.003175499,0.05451952,0.054498516,1.3600574,0.0,1.4140975,0.74480075,0.7427426,0.7382153
0.003115355,0.054495372,0.05447388,1.3591712,0.0,1.4140071,0.7447768,0.7430369,0.73809063
