mse_hybrid_syn,mse_hybrid_phys,mse_phys_only,p_error_hybrid_phys,p_error_hybrid_syn,p_error_phys_only,l2_error_hybrid_phys,l2_error_hybrid_syn,l2_error_phys_only
3.752136e-05,1.1322217e-05,1.1439666e-05,0.3155149,0.0,0.31920207,0.017643105,0.06081085,0.017780637
2.6401987e-05,1.1300362e-05,1.1417673e-05,0.31533128,0.0,0.31902084,0.01762763,0.06865853,0.017764939
4.8850416e-05,1.1278658e-05,1.1395853e-05,0.31515226,0.0,0.31883985,0.017613119,0.0738574,0.01774936
7.04267e-05,1.125712e-05,1.1374212e-05,0.31496957,0.0,0.3186591,0.017594911,0.08023472,0.017733902
9.337429e-05,1.1235766e-05,1.1352723e-05,0.31479645,0.0,0.31847864,0.017580235,0.089062154,0.017718578
0.0001452892,1.1214571e-05,1.1331412e-05,0.31462038,0.0,0.31829846,0.017557856,0.07567822,0.017703371
9.882028e-05,1.1193529e-05,1.13102715e-05,0.31444028,0.0,0.3181185,0.01753839,0.07510026,0.017688304
8.739297e-05,1.1172674e-05,1.1289291e-05,0.31426582,0.0,0.31793883,0.017522812,0.09534738,0.017673332
0.00017233161,1.11519685e-05,1.1268481e-05,0.31408894,0.0,0.31775945,0.01750262,0.09215083,0.017658513
0.00021220998,1.1131443e-05,1.1247835e-05,0.31391156,0.0,0.31758037,0.017484836,0.07123448,0.01764379
5.8614416e-05,1.1111064e-05,1.1227355e-05,0.3137357,0.0,0.31740153,0.017467782,0.09881188,0.017629225
0.00021116647,1.1090869e-05,1.1207024e-05,0.3135515,0.0,0.317223,0.017449614,0.11595664,0.017614769
0.0003152195,1.1070809e-05,1.1186833e-05,0.31337112,0.0,0.31704476,0.017439187,0.08389141,0.017600426
0.00013582621,1.1050883e-05,1.1166834e-05,0.31318805,0.0,0.31686682,0.017425679,0.07035024,0.017586177
5.108881e-05,1.1031132e-05,1.1146987e-05,0.31300303,0.0,0.31668913,0.017414922,0.07070967,0.017571982
